POS.WeekEndDate,Category,HA_._sold_COM,HA_._sold_EML,HA_._sold_other,HA_quantity_COM,HA_quantity_EML,HA_quantity_other,MNP_SA50.Sales.Amt,MNP_SA50.Sales.Amt_transformed,MNP_SA50.Sales.Qty,POS.Inventory,POS.Net...Sold,POS.Net.Quantity.Sold,POS.Brother.MNP.Net...Sold,POS.Brother.MNP.Net...Sold_transformed,POS.Brother.MNP.Net.Quantity.Sold,POS_SA50.Sales.Amt,POS_SA50.Sales.Qty,brother_SA50.Sales.Amt,brother_SA50.Sales.Qty,HA_promo_COM,HA_promo_EML,HA_promo_other,HA_promo_COM_weighted,HA_promo_EML_weighted,HA_promo_other_weighted,weighted_unit_price,division_name,display_cost,search_cost,shop_cost,video_cost,yt_Impressions,yt_Views,yt_Watch.time..hours.,yt_Average.view.duration,print_Engagement,print_Impressions,print_Outbound.clicks,print_Pin.clicks,print_Saves,link_Overview.page.views..total.,link_Overview.unique.visitors..total.,link_Life.page.views..total.,link_Life.unique.visitors..total.,link_Total.page.views..total.,link_Total.unique.visitors..total.,link_cost,fb_cost,ig_cost,web_Events,web_TotalSessions,web_AvgTimeonPage,web_AvgPageViews,web_locate_a_dealer,web_where_to_buy,web_add_to_cart,web_Total_prod_spec,web_Total_about_product,web_Total_image,web_Total_Video,web_Total_Downloads,web_Other,web_Total_PDP_Reviews,web_Total_PDP_Views,web_Social_new,web_Other_new,web_PaidSearch,web_Email,web_Affiliates,web_Referral,web_Social,web_OrganicSearch,web_Direct,web_Display,eml_SENT,eml_OPENED,eml_UOPEN,eml_COST,corona_cases,vaccine,Holiday,Holiday_Significance,Event,Event_Significance,Total_Holiday.Event_Count,Overall_Significance,Paid_Search,Paid_Social,trend,display_impressions,search_impressions,shop_impressions,video_impressions,link_paid_impressions,fb_impressions,ig_impressions,Paid_Search_impressions,Paid_Social_impressions
26-01-2019,Crafting,0,0,0,0,0,0,69433,124369.109,3429,14659,59956,2012,130517,185453.109,5474,1925,1335,1128,33,0,0,0,0,0,0,29.79927932,HAD,0,1291.84,0,0,138942,20709,960.5672,166.8571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,3267,7.598571429,3.298571429,245,88,10,143,0,81,10,0,21,100,10096,188,20,562,31,0,61,10096,1127,1278,0,0,0,0,0,0,0,1,0,0,0,1,0,1291.84,0,48,0,51216,,,,,,51216,0
26-01-2019,ES/Labeling,87969,0,264308,2292,0,9237,29115,30339.65702,568,168026,1175838,34894,1210469,1211693.657,35548,818389,24490,5516,86,10.27777778,0,12.15384615,13.35498663,0,11.99376916,33.69513871,BMG,0,5732.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3341.599729,3665.210271,656,7189,6.79,2.921428571,1,568,87,625,0,692,242,21,1,157,19350,8,1,1289,13,0,82,19350,3276,2520,0,384831,202179,164814,288.62325,0,0,1,0,0,0,1,0,5732.85,7006.81,67,0,84230,,,,583467,885890,84230,1469357
26-01-2019,Sewing,0,0,0,0,0,0,1874550,3357688.854,32623,159367,1018564,15255,2897748,4380886.854,48000,596570,9992,4634,122,0,0,0,0,0,0,66.76881416,HAD,0,6643.08,0,0,175379,28059,777.9476,99.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2856,31947,6.054285714,2.645714286,1868,943,45,1101,0,1656,439,9,91,676,71601,691,90,2870,56,0,779,71601,11739,15722,0,121105,57113,45968,90.82875,0,0,1,0,0,0,1,0,6643.08,0,19,0,70050,,,,,,70050,0
26-01-2019,Supplies,0,0,0,0,0,0,248732,307579.2276,11565,2507249,16282666,536749,16562906,16621753.23,549118,11858837,434245,31508,804,0,0,0,0,0,0,30.3356445,BMG,0,9170.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1894,26462,7.411428571,2.831428571,12,1850,32,340,0,847,73,26,5,269,52705,4,3,1859,19,0,275,52705,3920,20381,1,0,0,0,0,0,0,1,0,0,0,1,0,9170.07,0,70,0,74857,,,,,,74857,0
02-02-2019,B2B Printing,504492,102942,337677,1354,203,875,60419,88266.64153,225,32624,1880258,5391,1944694,1972541.642,5631,1034346,3003,4017,15,44.54545455,30.86956522,69,59.13312693,32.36453202,70.24134313,348.773632,BMG,669.07,5211.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,5945,8.587142857,4.272857143,41,457,43,1412,0,874,211,177,0,180,23915,5,0,1344,48,0,103,23915,3610,835,0,0,0,0,0,0,0,0,0,0,0,0,0,5211.01,0,35,395186,88427,,,,,,88427,0
02-02-2019,B2C printing,1583802,0,2645364,9545,0,15477,96734,153792.8151,1580,280891,6533696,41250,6655153,6712211.815,43012,3769838,26347,24723,182,22.3255814,0,37.59866555,30.34008581,0,40.4264441,158.3873658,BMG,2626.49,33273.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852.37,0,2671,25057,6.882857143,3.064285714,7,2465,199,4334,0,2689,831,610,16,655,74848,83,4,6339,532,0,449,74848,14953,2691,6,69106,19431,13303,51.8295,0,0,0,0,0,0,0,0,33273.74,852.37,69,2029193,343570,,,,90661,,343570,90661
02-02-2019,Crafting,0,0,0,0,0,0,67066,103762.4253,2415,14240,44955,1928,121347,158043.4253,4466,-21187,639,9326,123,0,0,0,0,0,0,23.31533195,HAD,0,1981.29,0,0,117347,18858,844.3104,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,2214,7.445714286,4.07,186,93,26,150,0,87,6,2,15,100,8940,148,15,662,21,0,86,8940,1125,157,0,151408,75053,55624,113.556,0,0,0,0,0,0,0,0,1981.29,0,42,0,81238,,,,,,81238,0
02-02-2019,ES/Labeling,327776,0,416834,9123,0,12980,103497,102343.9023,923,164093,1212529,35449,1318186,1317032.902,36400,780788,24209,2160,28,14.16666667,0,18.35714286,13.51823994,0,15.40996986,34.20266072,BMG,0,6331.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258.809682,2703.030318,641,5214,6.31,3.341428571,5,565,71,632,0,628,212,35,0,199,17062,6,0,1368,22,0,86,17062,3106,626,0,0,0,0,0,0,0,0,0,0,0,0,0,6331.17,4961.84,61,0,88127,,,,418459,726802,88127,1145261
02-02-2019,Sewing,0,0,0,0,0,0,2350419,3636506.524,32363,163364,1064806,16177,3418118,4704205.524,48716,723148,13515,2893,176,0,0,0,0,0,0,65.82160784,HAD,0,4505.67,0,0,178060,28617,833.7002,104.4285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175,16227,6.08,3.292857143,1307,823,45,1022,0,1513,365,17,67,654,52855,441,67,2117,46,0,570,52855,11583,1402,1,0,0,0,0,0,0,0,0,0,0,0,0,4505.67,0,19,0,48383,,,,,,48383,0
02-02-2019,Supplies,0,0,0,0,0,0,222514,261232.9144,9555,2599259,16856584,553898,17109304,17148022.91,564183,14087715,444466,30206,730,0,0,0,0,0,0,30.43262917,BMG,0,7211.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,7655,6.934285714,4.384285714,7,1927,28,329,0,821,78,31,2,276,32942,4,2,1810,11,0,247,32942,3745,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,7211.45,0,64,0,62260,,,,,,62260,0
